Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
108,Blithe Spirit,2/19/2021,IFC Films,Comedy,"$282,499 ","30,840"
109,American Skin,1/15/2021,Vertical Entertai…,Drama,"$282,332 ","30,822"
111,Rita Moreno: Just a Girl Wh…,6/18/2021,Roadside Attractions,Documentary,"$264,626 ","28,889"
112,Once I Was Engaged,7/21/2021,Purdie Distribution,Comedy,"$254,775 ","27,813"
114,Supernova,1/29/2021,Bleecker Street,Drama,"$234,220 ","25,569"
115,Limbo,4/30/2021,Focus Features,Drama,"$224,405 ","24,498"
117,Ailey,7/23/2021,Neon,Documentary,"$197,638 ","21,576"
118,The Resort,4/30/2021,Vertical Entertai…,Horror,"$191,996 ","20,960"
119,La piscine,5/14/2021,Rialto Pictures,Drama,"$191,925 ","20,952"
121,Together,8/27/2021,Bleecker Street,Comedy,"$183,578 ","20,041"
122,The Lost Leonardo,8/13/2021,Sony Pictures Cla…,Documentary,"$177,392 ","19,365"
123,Earwig and the Witch,2/3/2021,GKIDS,Adventure,"$173,704 ","18,963"
125,Shiva Baby,4/2/2021,Utopia,Comedy,"$156,552 ","17,090"
126,Beans,3/30/2021,Mongrel Media,Drama,"$148,985 ","16,264"
128,SAS: Red Notice,4/16/2021,Vertical Entertai…,Action,"$146,329 ","15,974"
129,The Reckoning,2/5/2021,RLJ Entertainment,Horror,"$143,532 ","15,669"
130,Held,4/9/2021,Magnolia Pictures,Horror,"$142,817 ","15,591"
131,No Man’s Land,1/22/2021,IFC Films,Western,"$139,221 ","15,198"
132,Six Minutes to Midnight,3/26/2021,IFC Films,Thriller/Suspense,"$132,500 ","14,465"
133,Gaia,6/18/2021,Neon,Horror,"$126,126 ","13,769"
134,The Djinn,5/14/2021,IFC Midnight,Horror,"$124,649 ","13,607"
135,Walking with Herb,5/7/2021,Aloha Releasing,Comedy,"$120,226 ","13,125"
136,Shadow in the Cloud,1/1/2021,Vertical Entertai…,Action,"$117,815 ","12,861"
