,Rank,RatingTomatometer,Title,No. of Reviews
0,1.0,94%,Nomadland,416
1,2.0,96%,Judas and the Black Messiah,339
2,3.0,98%,The Father,276
3,4.0,94%,In the Heights,343
4,5.0,99%,Summer of Soul,198
5,6.0,97%,Pig,214
6,7.0,94%,Raya and the Last Dragon,281
7,8.0,96%,CODA,229
8,9.0,98%,The Mitchells vs. The Machines,179
9,10.0,91%,The Suicide Squad,341
10,11.0,91%,A Quiet Place Part II,341
11,12.0,99%,MLK/FBI,123
12,13.0,97%,Shiva Baby,145
13,14.0,91%,Luca,280
14,15.0,93%,Shang-Chi and the Legend of the Ten Rings,254
15,16.0,100%,"Quo Vadis, Aida?",61
16,17.0,100%,Identifying Features,58
17,18.0,100%,Slalom,51
18,19.0,100%,Flee,48
19,20.0,98%,Two of Us,87
20,21.0,100%,Sabaya,40
21,22.0,100%,Paper Spiders,40
22,23.0,95%,The Sparks Brothers,150
23,24.0,96%,Riders of Justice,116
24,25.0,97%,I Carry You with Me,87
25,26.0,98%,The Paper Tigers,59
26,27.0,96%,Rita Moreno: Just a Girl Who Decided to Go For It,102
27,28.0,96%,Billie Eilish: The World's a Little Blurry,99
28,29.0,98%,My Heart Can't Beat Unless You Tell It To,48
29,30.0,98%,Playing with Sharks,41
30,31.0,98%,Drunk Bus,41
31,32.0,98%,Hope,41
32,33.0,98%,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,40
33,34.0,97%,The Reason I Jump,58
34,35.0,96%,Stray,67
35,36.0,95%,Street Gang: How We Got to Sesame Street,88
36,37.0,96%,The Lost Leonardo,53
37,38.0,96%,In the Same Breath,50
38,39.0,96%,Plan B,50
39,40.0,96%,Language Lessons,51
40,41.0,93%,Herself,116
41,42.0,93%,Val,114
42,43.0,88%,The Green Knight,230
43,44.0,92%,Roadrunner: A Film About Anthony Bourdain,134
44,45.0,95%,Lapsis,57
45,46.0,85%,Candyman,289
46,47.0,95%,Dear Comrades!,55
47,48.0,88%,Zola,217
48,49.0,89%,Supernova,193
49,50.0,79%,Black Widow,423
50,51.0,91%,Together Together,142
51,52.0,93%,The Killing of Two Lovers,95
52,53.0,92%,Limbo,118
53,54.0,95%,Test Pattern,44
54,55.0,93%,Mogul Mowgli,87
55,56.0,93%,Some Kind of Heaven,83
56,57.0,92%,Tina,86
57,58.0,84%,Nobody,268
58,59.0,89%,Censor,149
59,60.0,93%,"All Light, Everywhere",54
60,61.0,93%,Lily Topples the World,45
61,62.0,93%,Never Gonna Snow Again,45
62,63.0,93%,Bo Burnham: Inside,43
63,64.0,93%,Spring Blossom,43
64,65.0,90%,The Vigil,112
65,66.0,93%,The Man Who Sold His Skin,41
66,67.0,92%,Swan Song,64
67,68.0,93%,Pray Away,40
68,69.0,92%,Mass,60
69,70.0,92%,Final Account,60
70,71.0,88%,The Dig,152
71,72.0,91%,PG: Psycho Goreman,82
72,73.0,91%,Little Fish,76
73,74.0,92%,Days of the Bagnold Summer,51
74,75.0,92%,Truman & Tennessee: An Intimate Conversation,48
75,76.0,90%,Fear Street Part Three: 1666,92
76,77.0,91%,Holler,65
77,78.0,88%,Nine Days,134
78,79.0,88%,Ema,132
79,80.0,88%,Dream Horse,126
80,81.0,91%,Cowboys,56
81,82.0,91%,Rams,53
82,83.0,85%,The Night House,179
83,84.0,89%,The Dry,84
84,85.0,88%,Fear Street Part Two: 1978,102
85,86.0,88%,Violation,98
86,87.0,88%,Oxygen,94
87,88.0,81%,Free Guy,255
88,89.0,90%,Coming Home in the Dark,42
89,90.0,90%,Les nôtres,41
90,91.0,86%,Werewolves Within,134
91,92.0,89%,Ailey,61
92,93.0,75%,Godzilla vs. Kong,375
93,94.0,87%,Vivo,89
94,95.0,88%,The Djinn,64
95,96.0,74%,Cruella,386
96,97.0,88%,Wild Indian,52
97,98.0,88%,Operation Varsity Blues: The College Admissions Scandal,51
98,99.0,86%,Jakob's Wife,88
99,100.0,88%,We're All Going to the World's Fair,40
